,text,re,fav
58,"['chloeraccoon', 'predict', 'mean', 'real', 'hap', 'least', 'wel', 'know', 'hold', 'myst', 'pow', 'muddy', 'sl', 'httpstcoknfvsigqk']",0,0
59,"['nic', 'anoth', 'wednesday', 'guy']",0,0
60,"['sarahoverin', 'wed', 'pref', 'liv', 'display', 'pict']",0,0
61,"['annikadowson', 'hello', 'annik', 'bubbl', 'shop', 'lik', 'tesco', 'boot', 'sainsbury', 'meal', 'dea', 'httpstcozlgeyfbc']",0,1
62,"['voxterry', 'dont', 'tempt', 'fat', 'richard', 'ther', 'much', 'brit', 'publ', 'transport', 'tak']",0,1
63,"['skolt', 'char', 'wrong']",1,2
64,"['itskapoow', 'forev', 'mak', 'par', 'proud', 'kyl', 'proud', 'son']",1,7
65,"['dylanfut', 'wish', 'command', 'within', 'reason', 'cours']",0,0
66,"['thefoodrush', 'glad', 'yo', 'excit', 'new', 'dairyfr', 'rang', 'guy', 'thank', 'much']",0,2
67,"['alexjamesemery', 'tesco', 'absolv', 'ste', 'alex', 'someon', 'cal', 'cop', 'cal', 'brit', 'langu', 'pol', 'httpstcoiyxmhxdd']",0,1
68,"['sujo', 'bucket', 'load', 'thank', 'su', 'comply', 'resolv', 'read', 'ts', 'amp', 'cs', 'yo', 'rar', 'bree']",0,0
69,"['damienbatchel', 'horr', 'day', 'without', 'poncho', 'damy', 'post', 'back', 'httpstconqjacrphbo']",0,0
70,"['ysgolpenybryn', 'revieww', 'fin', 'someth', 'repl', 'firebas', 'pow', 'excel', 'work', 'everyon']",2,1
71,"['least', 'snow']",116,575
72,"['insufficy', 'evid', 'httpstcohxiwyvnyd']",17,196
73,"['hhhhhhhhhanna', 'unibirmingham', 'gre', 'select', 'muddy', 'kne', 'hann']",0,1
74,"['ginil', 'andrewandpet', 'janmurray', 'charmin', 'wendy', 'chubby', 'jetblu', 'generalelect', 'digiorno', 'fright', 'mes', 'httpstcotnbnvfzl']",0,3
75,"['changewithd', 'jackdanielsuk', 'costacoff', 'yo', 'conflict', 'man', 'torn', 'id', 'heal', 'l', 'httpstconuscdcowu']",1,1
76,"['nic', 'job', 'alert', 'com', 'new', 'peopl', 'champ', 'httpstcocsfeqrgmn']",11,53
77,"['andrebryniakk', 'la', 'la', 'land']",0,2
78,"['tiotwstacey', 'simpleskin', 'bblogrt', 'bloggerspl', 'bloggertrib', 'ukblogrt', 'femblog', 'lady', 'fin', 'tast', 'glad', 'lik']",1,1
79,"['ukfoodthought', 'kind', 'say', 'spirit', 'shar', 'lov', 'wel', 'pass', 'team', 'fruit', 'httpstcomnfyznfg']",0,0
80,"['lucylexislawton', 'lofty', 'commend', 'aim', 'stop', 'sup', 'smoothy', 'mak', 'wid', 'rang', 'drink', 'day', 'httpstcoqdugenuq']",0,1
81,"['jasonbowm', 'wip', 'tear', 'eyey', 'son']",1,1
82,"['amberwebsterl', 'weath', 'upd', 'wet', 'grey', 'lik', 'eleph', 'front', 'crawl']",0,2
83,"['weath', 'upd', 'wet', 'grey', 'lik', 'eleph', 'back', 'crawl']",73,362
84,"['itskapoow', 'ask', 'quest']",0,0
85,"['elderlygoos', 'import', 'skil']",0,1
86,"['redemptionb', 'hello', 'that', 'quit', 'stat', 'get', 'lot', 'request', 'help', 'sad', 'cant', 'help', 'everyon', 'httpstcobwphpivi']",0,1
87,"['annecupcak', 'lik', 'hear']",0,0
88,"['hellenbach', 'ageuk', 'yo', 'legend', 'sheep', 'cloth', 'wear', 'wool', 'yo', 'stil', 'legend']",0,2
89,"['cavalieryou', 'noooooooooooooooooooooooooooooooooo', 'deep', 'brea', 'oooooooooooooooooooooo']",0,1
90,"['goldy', 'oh', 'dont', 'worry', 'sum', 'short', 'tshirts']",0,0
91,"['pedrobenj', 'hi', 'aj', 'yeah', 'going', 'cancel', 'saturday', 'sorry']",0,1
92,"['dancam', 'cgsnapps', 'typ', 'hondaracingbtcc', 'ctrouk', 'yorrrkshirein', 'shouty', 'mood', 'afternoon']",0,1
93,"['wolkennix', 'prom', 'respect', 'trust', 'iron', 'pringl', 'turn', 'norm', 'crisp']",0,0
94,"['bowenmiss', 'excel', 'club', 'nam']",0,2
95,"['andymrobert', 'fight', 'corn', 'way', 'bet', 'form', 'flattery', 'che', 'andy']",0,1
96,"['emilyapricot', 'spot', 'chant', 'marketingsmoo', 'lik', 'orang', 'juic', 'smoo', 'on']",0,1
97,"['kirstindalton', 'list', 'kirstin', 'recommend']",0,1
98,"['brewgoodr', 'club', 'get', 'jacket']",0,1
99,"['ummig', 'strongstemshe', 'giyireland', 'look', 'lik', 'hes', 'nail']",0,1
100,"['doobiek', 'pleas', 'nath', 'glad', 'fin', 'got']",0,0
101,"['elunedw', 'togethertrust', 'champ']",0,1
102,"['northburyschool', 'rhsschools', 'foodgrowschool', 'gre', 'job', 'team']",0,1
103,"['annecupcak', 'lov', 'eag', 'an', 'dairy', 'fre', 'rang', 'hit', 'waitros', 'start', 'april', 'sainsbury', 'httpstcoclwcddpmf']",0,1
104,"['itskapoow', 'stapl']",0,0
105,"['cavalieryou', 'sorry', 'el', 'hop', 'get', 'put', 'feet', 'deserv']",0,1
106,"['pedrobenj', 'yo', 'lov', 'fight']",0,0
107,"['natol', 'asphyxiapallid', 'opt', 'cplay', 'rocky', 'them', 'real', 'real', 'real', 'loud']",0,1
108,"['elderlygoos', 'could', 'person', 'train']",0,0
109,"['yvonnenewm', 'savvy', 'cho']",0,0
110,"['adlynch', 'barry', 'hasnt', 'much', 'dav', 'pop', 'quit', 'oft', 'though', 'georg', 'app', 'dog', 'innoc', 'httpstcoxpxruvgd']",0,1
111,"['stepharmstrong', 'boss', 'cant', 'tel', 'gent', 'suggest', 'stick', 'serv', 'httpstcohcatohjst']",0,1
112,"['yvonnenewm', 'boowait', 'that', 'hiccup']",0,1
113,"['alicepriestland', 'al', 'ahead', 'curv', 'priestland']",0,1
114,"['lucylexislawton', 'sup', 'nail']",0,1
115,"['foursoc', 'com', 'stay', 'next', 'tim', 'lik', 'kar']",0,1
116,"['ideasonfood', 'liz', 'everyon', 'favo', 'per']",0,1
117,"['cgsnapps', 'dancam', 'typ', 'hondaracingbtcc', 'ctrouk', 'vroom', 'vroooooom']",0,2
118,"['edbarn', 'blow', 'ed', 'kiss']",0,0
119,"['meza', 'spacysam', 'mum', 'sound', 'lik', 'legend', 'blu', 'plaqu']",1,2
120,"['goldy', 'yo', 'stickl', 'saf', 'hand']",0,0
121,"['ptyranosa', 'on', 'ant', 'mystery', 'old', 'tim', 'stoneheng']",0,1
122,"['wolkennix', 'tot', 'unbias', 'opin', 'definit', 'best', 'thing', 'youv', 'ev', 'tast']",0,1
123,"['wewerebornwi', 'set', 'vict', 'lap']",1,1
124,"['redj', 'good', 'spot', 'jul', 'detect', 'show']",0,0
125,"['robertss', 'jennnnnnx', 'wev', 'settl', 'driv', 'around', 'grandfath', 'clock', 'passeng', 'seat', 'much', 'simpl']",0,3
126,"['mic', 'gre', 'pow', 'com', 'absolv', 'respons']",0,0
127,"['almaecross', 'glow', 'prid']",0,1
128,"['voxterry', 'wwf', 'gam', 'set', 'match', 'richard']",0,0
129,"['aligub', 'arborophil', 'yo', 'pro', 'alison']",0,1
130,"['cazbro', 'wis', 'wis', 'word']",0,1
131,"['drrobotman', 'pres', 'tru', 'mast']",0,1
132,"['pjmck', 'phrase', 'pet', 'geni', 'thrown', 'around', 'lot', 'tot', 'just', 'every', 'tim', 'us']",0,0
133,"['rougejotunowlet', 'flo', 'gre', 'keepingusinbusy']",0,1
134,"['lozeng', 'long', 'right', 'half', 'year', 'that', 'main', 'thing']",0,1
135,"['lucaaazad', 'hir', 'luc', 'tough', 'negoty', 'us']",0,1
136,"['lizk', 'pun', 'liz']",0,1
137,"['honkjel', 'let', 'grat', 'bicyc', 'dont', 'clock']",0,1
138,"['realchrispearc', 'amandacob', 'copyc', 'busy', 'fingerpoint', 'busy', 'ei', 'httpstcoumxilhnol']",0,2
139,"['clairesciclun', 'hid', 'mass', 'incorrect', 'digit', 'watch', 'clair']",0,1
140,"['wanderingrooh', 'innoc', 'stand', 'indep']",0,1
141,"['ezgflight', 'font', 'useless', 'knowledg']",0,1
142,"['thelionsdenyt', 'part', 'tweet', 'lion', 'den']",0,1
143,"['richiechuff', 'sorry', 'hear', 'richy', 'going', 'prescrib', 'strong', 'dos', 'duvet', 'unicorn', 'onesy', 'naff', 'tel']",0,0
144,"['ummig', 'strongstemshe', 'giyireland', 'cupcak', 'look', 'delicy']",0,0
145,"['anthonyrowley', 'fiv']",0,1
146,"['confusedspoon', 'yo', 'eagleey', 'on', 'ar', 'look', 'doct', 'spoon']",0,1
147,"['castlebaretn', 'lik', 'torto']",0,0
148,"['glutenandm', 'afraid', 'oat', 'isnt', 'typ', 'oat', 'us', 'almond', 'hazelnut', 'right', 'jenn', 'street']",0,2
149,"['elunedw', 'togethertrust', 'four', 'hundr', 'nin']",0,1
150,"['emmaslei', 'jasdfghjkl', 'next', 'comedy', 'cent', 'new', 'sitcom', 'jas', 'emm', 'on', 'wild', 'child', 'op', 'two', 'b', 'httpstcokoztjdbg']",0,2
151,"['justnierninw', 'smoothy', 'oclock', 'hour', 'every', 'hour', 'also', 'bit', 'inbetween', 'hour']",0,1
152,"['awlshw', 'cdp', 'wel', 'quiet', 'ad', 'idea', 'borrow', 'wink', 'wink', 'list']",0,0
153,"['missplantyear', 'giyireland', 'ev', 'grow', 'potato', 'head', 'nic', 'work', 'everyon']",0,0
154,"['swordsevr', 'thank', 'emy', 'sometim', 'giggl', 'inbetween', 'snor']",0,1
155,"['keeeaw', 'clock', 'chang', 'neck', 'wood']",0,1
156,"['kirstindalton', 'ev', 'bet', 'drink', 'cho']",0,0
157,"['lexilicy', 'appl', 'grap', 'serv', 'gre', 'bas', 'help', 'bal', 'bring', 'stronger', 'tast', 'httpstcoigknfelbg']",0,0
158,"['lexilicy', 'sorry', 'yo', 'unhappy', 'label', 'lex', 'nam', 'bas', 'think', 'youl', 'tast', 'wer', 'httpstcovkuwbroap']",0,0
159,"['chrishorn', 'dont', 'know', 'mak', 'mag', 'scrolling', 'screenshot', 'chris', 'lik']",0,0
160,"['feel', 'lik', 'rocky', 'morningopt', 'ago', 'run', 'dawndrink', 'raw', 'eggssprint', 'load', 'stepsbecom', 'wo', 'httpstcodxqqrxjme']",64,367
161,"['clockchang', 'styl', 'say', 'youpm', 'friday', 'want', 'leav', 'work', 'earlypm', 'saturday', 'yo', 'saf', 'httpstcoxnqlanhsq']",50,308
162,"['wwfs', 'earthho', 'rememb', 'switch', 'light', 'lik', 'unicyclerid', 'jagu', 'httpstcolaokamixfi']",31,109
163,"['yvonnenewm', 'could', 'sleep', 'long', 'miss', 'hour', 'laundry', 'instead']",0,4
164,"['lucaaazad', 'teach', 'us', 'way', 'oh', 'wis', 'on']",0,0
165,"['dont', 'forget', 'put', 'clock', 'forward', 'bed', 'tonight', 'her', 'httpstcorojniaknx']",364,687
166,"['spend', 'fifty', 'nin', 'minut', 'try', 'chang', 'car', 'clock', 'httpstcohsevbiobt']",39,204
167,"['inv', 'cuckoo', 'clock', 'sal', 'roost', 'clock', 'plummet', 'swiss', 'cre', 'first', 'wrist', 'watc', 'httpstcomnxkcwoqf']",31,170
168,"['hist', 'tel', 'tim', 'bc', 'ant', 'greek', 'inv', 'sund', 'tim', 'ad', 'think', 'put', 'httpstcoajjxehnoe']",46,221
169,"['raquellegeny', 'sorry', 'hear', 'pleas', 'could', 'email', 'helloinnocentdrinkscouk', 'wel', 'get', 'back', 'thank']",0,0
170,"['cazlovescoff', 'tesco', 'thank', 'get', 'touch', 'carolin', 'want', 'reass', 'hav', 'discontinu', 'httpstcodepdezjgu']",0,0
171,"['holliek', 'hol']",0,1
172,"['itskapoow', 'act', 'last', 'night', 'morn', 'interest']",0,0
173,"['annarosev', 'real']",0,5
174,"['annarosev', 'wel', 'let', 'know', 'real', 'ann']",0,3
175,"['elderlygoos', 'sssh', 'dont', 'tel', 'everyon']",0,5
176,"['soopergirl', 'sorry', 'go', 'big', 'pil', 'work', 'leav', 'pleas', 'httpstcopxzlofmepd']",1,3
177,"['marvsp', 'diff', 'dav', 'dav', 'first', 'mr', 'gorm', 'dav', 'seventeen', 'sur', 'wev', 'httpstconvbbezm']",0,1
178,"['koalaclumsy', 'sorry', 'hop', 'didnt', 'stop', 'show', 'someon', 'els', 'sav', 'wat']",0,1
179,"['elderlygoos', 'know', 'plac', 'insid', 'ev', 'forget', 'comput', 'password', 'know', 'cal']",0,2
180,"['would', 'look', 'pm']",10,200
181,"['leav', 'work', 'dont', 'forget', 'put', 'off', 'clock', 'forward', 'hour', 'mayb', 'say', 'pm']",40,279
182,"['northburyschool', 'rhsschools', 'foodg', 'theyr', 'com', 'tre']",0,0
183,"['covegirl', 'helenalangdon', 'youv', 'got', 'two', 'ear', 'on']",0,2
184,"['timmed', 'thank', 'get', 'touch', 'tim', 'drop', 'helloinnocentdrinkscouk', 'detail', 'yo', 'think', 'httpstcolwxvyeb']",0,0
185,"['sophielbev', 'yo', 'welcom', 'soph', 'wev', 'got', 'stick', 'togeth', 'chang', 'tim']",0,1
186,"['good', 'stuff', 'hap', 'world', 'alert', 'bry', 'cranston', 'aruknew', 'mad', 'film', 'chang', 'perceiv', 'dem', 'httpstcoqasdgsn']",37,104
187,"['tonybowenmus', 'uniontavern', 'thank', 'lot', 'last', 'night', 'tony', 'rock', 'rol']",1,3
188,"['geebantlem', 'cassiecapuozzo', 'gee', 'whizz']",0,1
189,"['imposiblgrl', 'cow', 'okay']",0,0
190,"['nic', 'tid', 'wink', 'rath', 'good']",0,0
191,"['cherryconst', 'oh', 'wel', 'dig', 'hist', 'book', 'giv', 'upd', 'soon', 'got', 'carry', 'away', 'nam', 'sorry']",0,0
192,"['cherryconst', 'cherry', 'const', 'fruit', 'pol', 'innoc']",0,1
193,"['tarvinprim', 'get', 'dict']",0,1
194,"['cassiecapuozzo', 'sound', 'cassy', 'happy', 'alarm']",0,1
195,"['creativeclass', 'tast', 'definit', 'best', 'sens']",0,1
196,"['stmolaga', 'thorough', 'deserv']",0,1
197,"['nreubenschool', 'theyr', 'storm']",0,0
198,"['mdclass', 'that', 'on', 'tal', 'pea', 'plant']",0,0
199,"['belgrovesb', 'gig', 'plant', 'rath', 'stun', 'wal', 'display']",0,0
200,"['stmaryskillyl', 'look', 'cress']",0,1
201,"['creativeclass', 'that', 'sery', 'gre', 'grow']",1,1
202,"['creativeclass', 'hello']",0,1
203,"['stmolaga', 'look', 'lik', 'theyr', 'com', 'tre']",0,0
204,"['mdclass', 'ther', 'eagleey', 'class']",0,0
205,"['stbrigidsgns', 'giyireland', 'cress', 'alway', 'quick', 'block', 'pea', 'spinach', 'catch', 'though']",0,0
206,"['stbrigidsgns', 'giyireland', 'lik', 'p']",0,0
207,"['stmarysjunior', 'nic', 'work', 'team', 'hop', 'theyv', 'spot', 'pea']",0,0
208,"['stbrigidsgns', 'giyireland', 'nail', 'gre', 'job', 'everyon']",0,0
209,"['callikitson', 'ev', 'struggling', 'spot']",0,1
210,"['recruiterfmcg', 'dog', 'com']",0,0
211,"['arnoldlayn', 'oh', 'meant', 'poem', 'didnt', 'real', 'work', 'gre', 'yo', 'bas', 'ye', 'twit']",0,0
212,"['greenfl', 'hat', 'wed', 'tak', 'cian']",0,1
213,"['clovercgreen', 'yo', 'antiantidisun']",1,1
214,"['callikitson', 'wev', 'hid', 'smoothy', 'amongst', 'eg', 'find', 'httpstcoocbmlmjtm']",0,0
